Freq,Word
618,datum
531,plot
383,are
326,scale
242,variable
210,legend
167,map
163,theme
149,function
148,axis
143,layer
143,aesthetic
133,label
131,graphic
127,facet
123,frame
108,stat
105,element
99,diamond
95,package
90,coordinate
89,text
86,default
85,argument
85,display
82,exercise
76,summary
74,component
71,sect
70,code
70,continuous
70,grid
68,panel
68,following
68,chapter
67,null
65,transformation
62,smooth
62,doe
61,bin
59,grammar
59,multiple
59,true
58,background
57,detail
55,density
54,shape
54,date
53,distribution
52,tidy
51,limit
50,statistical
50,tool
49,row
49,depth
48,observation
48,carat
47,width
47,discrete
46,guide
45,key
45,object
44,column
43,title
43,below
43,polygon
40,visualization
40,histogram
39,false
38,log
38,height
38,summarize
38,missing
37,filter
37,vector
36,introduction
36,toolbox
35,linear
35,don
34,modify
34,pattern
34,method
33,override
32,parameter
31,count
31,convert
31,margin
31,reference
30,technique
29,path
29,identity
29,complete
29,additional
28,sale
28,visualize
27,transform
27,manual
27,alpha
27,none
27,wrap
26,gray
26,generate
26,chap
26,average
25,illustrate
25,relative
25,spread
25,basic
24,specify
24,clarity
24,annotation
24,gather
23,mutate
23,output
23,chart
23,length
23,combine
23,adjustment
23,statistic
22,grouping
22,palette
22,county
22,vary
22,overlap
22,stack
22,trend
21,fuel
21,appearance
21,setting
20,polar
20,option
20,separate
20,drawing
20,subset
20,tick
20,vertical
20,equal
19,documentation
19,ratio
19,version
19,explore
19,error
19,underlie
18,aspect
18,usual
18,mod
18,exist
18,categorical
18,frequency
18,sum
18,numeric
18,angle
17,graphical
17,segment
17,extract
17,metadata
17,alternative
17,complex
17,fit
17,border
17,unemployment
17,combination
17,original
17,index
17,minor
17,visual
16,strip
16,location
16,norm
16,master
16,lab
16,residual
16,supply
16,surface
16,compute
16,format
16,seasonal
16,ensure
16,font
16,graph
15,select
15,fig
15,expression
14,tile
14,automatic
14,score
14,estimate
14,hue
14,rectangle
14,exact
14,horizontal
13,associate
13,geometric
13,fun
13,collective
13,match
13,vignette
13,showing
12,relate
12,adjust
12,quick
12,lattice
12,raw
12,engine
12,bat
12,post
12,conditional
12,fair
12,gradient
12,tweak
12,projection
12,premium
11,verb
11,boundary
11,constant
11,apart
11,render
11,square
11,manufacturer
11,warning
11,library
11,erupt
11,dimension
11,eruption
11,user
11,description
11,formula
11,violin
11,expand
11,refer
11,inverse
10,advantage
10,manipulation
10,overall
10,theta
10,interactive
10,given
10,zoom
10,going
10,extend
10,train
10,split
10,string
10,bottom
10,meaning
10,pop
10,direct
10,unique
10,compose
10,actual
9,device
9,distance
9,sue
9,logical
9,max
9,broom
9,attribute
9,built-in
9,sequence
9,interpret
9,divide
9,principle
9,variation
9,previous
9,occasion
9,radius
9,ideal
9,explicit
9,typical
9,brewer
9,overlay
9,sally
9,perceptual
8,correspond
8,wheel
8,slice
8,familiar
8,purpose
8,contour
8,update
8,omit
8,interval
8,functional
8,fix
8,median
8,depend
8,unite
8,connect
8,interaction
8,pair
8,abs
8,straight
8,flip
8,ribbon
8,reverse
8,uncertainty
8,recommend
8,complicate
8,content
8,notice
7,dodge
7,noise
7,tend
7,spatial
7,rain
7,helper
7,conclusion
7,assume
7,screen
7,mark
7,convenient
7,intercept
7,temp
7,otherwise
7,rotate
7,perceive
7,install
7,web
7,round
7,print
7,context
7,comparison
7,online
7,independent
7,blank
7,immediate
7,solve
7,arrange
7,correct
7,reorder
7,feature
7,making
7,task
7,equivalent
7,cylinder
7,fast
7,rep
6,input
6,being
6,inherit
6,highway
6,bold
6,longitudinal
6,quote
6,highlight
6,integer
6,extra
6,shortcut
6,access
6,munch
6,percent
6,subtle
6,consistent
6,compact
6,recreate
6,caption
6,higher
6,manipulate
6,dealing
6,translate
6,auto
6,justification
6,introduce
6,advice
6,publish
6,align
6,messy
6,computation
6,scheme
6,considerable
6,total
6,corner
6,nudge
6,simultaneous
6,edition
5,housing
5,surprise
5,partition
5,disk
5,regular
5,lower
5,dot
5,primitive
5,weighting
5,customize
5,transparency
5,outline
5,diagonal
5,scratch
5,layout
5,presidential
5,strength
5,valid
5,opposite
5,implement
5,rely
5,saving
5,distinct
5,midpoint
5,database
5,parse
5,slope
5,contribute
5,syntax
5,calculation
5,regression
5,representation
5,download
5,hint
5,pie
5,extension
5,attempt
5,struggle
5,census
5,augment
5,suppress
5,found
5,reusable
5,substitute
5,generalize
5,alignment
5,predict
5,complexity
5,curve
5,precise
5,zero
5,topic
5,percentage
5,circle
5,press
5,trellis
5,hex
5,parallel
5,annotate
5,pipeline
5,setter
5,formal
5,sophisticate
5,primary
5,prop
5,normal
5,extreme
4,requirement
4,beg
4,colored
4,repeat
4,lack
4,gender
4,sett
4,encode
4,variety
4,tricky
4,doc
4,probable
4,absolute
4,framework
4,journal
4,pink
4,disadvantage
4,handy
4,providing
4,standardize
4,con
4,writing
4,informative
4,merge
4,peak
4,long-term
4,duplicate
4,reasonable
4,mass
4,construct
4,unlike
4,demonstrate
4,underneath
4,glance
4,proportion
4,budget
4,dive
4,arrow
4,span
4,schematic
4,bright
4,rough
4,conjunction
4,pipe
4,blind
4,pixel
4,symmetry
4,hypothesis
4,imply
4,spelling
4,minimal
4,gallon
4,volume
4,obvious
4,document
4,constrain
4,arbitrary
4,unfortunate
4,random
4,hide
4,calculate
4,load
4,mostly
4,collect
4,haven
4,linen
4,inward
4,expensive
4,overwhelm
4,experiment
4,outlying
4,scope
4,rich
4,measurement
4,prediction
4,elegant
4,prefer
3,publication
3,dynamic
3,global
3,reciprocal
3,negative
3,cheap
3,embed
3,multiply
3,cache
3,working
3,ample
3,capability
3,plane
3,replace
3,identical
3,mathematical
3,algorithm
3,jump
3,manner
3,doing
3,crossbar
3,mileage
3,distinguish
3,gram
3,add-on
3,correlate
3,displacement
3,vice
3,duplication
3,pointer
3,appropriate
3,hexagon
3,cook
3,thesis
3,travel
3,empty
3,operator
3,internal
3,assessment
3,comma
3,clock
3,fortify
3,alleviate
3,solution
3,solid
3,tween
3,possess
3,unknown
3,exclude
3,interact
3,tailor
3,serif
3,conclude
3,fortunate
3,static
3,prior
3,consult
3,weakness
3,assumption
3,unusual
3,exhaustive
3,evaluation
3,verbose
3,installation
3,blend
3,fundamental
3,regard
3,operate
3,domain
3,responsible
3,except
3,pure
3,sigma
3,adapt
3,grand
3,preface
3,understanding
3,transformer
3,essential
3,exploration
3,symmetric
3,evaluate
3,favorite
3,upper
3,integrate
3,pale
3,uniform
3,transparent
3,faithful
3,everywhere
3,squish
3,excite
3,accurate
3,col
3,practical
3,simulate
3,mid
3,rendering
3,publisher
3,assign
3,rapid
3,weather
3,orange
3,modern
3,feedback
3,tease
3,welcome
3,stick
3,exchange
3,approximate
3,mailing
3,jog
3,initial
3,poverty
3,intense
3,threshold
3,conversion
3,google
3,derive
3,brief
3,baseball
3,simplify
3,mar
3,magnitude
3,colophon
3,editor
3,batter
3,handle
3,prevent
3,contrast
3,chamber
3,inventory
3,absence
3,anal
3,latitude
3,category
3,exclusive
2,achieve
2,rewrite
2,iterate
2,exploratory
2,confound
2,dip
2,copy
2,consumption
2,characterize
2,excellent
2,aggregate
2,entry
2,improvement
2,especial
2,incorrect
2,convey
2,edit
2,proportional
2,listing
2,wiggly
2,theoretical
2,smart
2,aggregation
2,encourage
2,comprehensive
2,crutch
2,markdown
2,consume
2,additive
2,restraint
2,replicate
2,scientist
2,eventual
2,spot
2,aid
2,comparable
2,progress
2,seam
2,alone
2,short-term
2,approximation
2,wherever
2,root
2,illustration
2,broken
2,positive
2,bay
2,net
2,precede
2,cox
2,rid
2,creative
2,foreground
2,rare
2,bare
2,terrain
2,implicit
2,cannot
2,desirable
2,mechanism
2,touch
2,inch
2,endpoint
2,uni
2,demo
2,bundle
2,adjacent
2,subsequent
2,monthly
2,query
2,beauty
2,relevant
2,trying
2,tedious
2,unbounded
2,elsewhere
2,surround
2,descriptive
2,recording
2,investigate
2,philosophy
2,mystery
2,picking
2,mixture
2,sec
2,whenever
2,trivial
2,intersection
2,sample
2,bug
2,subtract
2,void
2,receptor
2,lib
2,circumstance
2,longitude
2,generalization
2,mile
2,extent
2,finding
2,worst
2,reader
2,rename
2,mono
2,entity
2,calibrate
2,potential
2,island
2,active
2,specialize
2,perception
2,gentleman
2,routine
2,lemon
2,sensible
2,advance
2,expressive
2,presence
2,discussion
2,eliminate
2,invisible
2,examine
2,printer
2,wrangling
2,sin
2,geyser
2,polish
2,intervention
2,accent
2,spherical
2,custom
2,concise
2,hollow
2,accessible
2,rug
2,liter
2,switch
2,high-level
2,joint
2,facilitate
2,connection
2,inhibitor
2,allocate
2,dirty
2,consist
2,ward
2,bowman
2,comment
2,slow
2,wavelength
2,side-by-side
2,concept
2,optional
2,indirect
2,register
2,port
2,low-level
2,josh
2,carter
2,thin
2,tiff
2,refute
2,mike
2,outward
2,terrible
2,symbol
2,sans
2,galaxy
2,software
2,pose
2,reading
2,abbreviate
2,italic
2,reshape
2,tune
2,coming
2,iteration
2,subgroup
2,separation
2,deviance
2,mislead
2,taking
2,plain
2,storage
2,worth
2,frustrate
2,neither
2,contiguous
2,classic
2,double
2,confuse
2,unless
2,guideline
2,integration
2,yellow
2,sentence
2,export
2,arrowhead
2,unlikely
2,beetle
2,command
2,unfamiliar
2,zip
2,consideration
2,diagnostic
2,grammatical
2,bubble
2,fantastic
2,item
2,bound
2,overview
2,pronounce
2,hexagonal
2,array
2,clean
2,motivate
2,electronic
2,decrease
2,reuse
2,sun
1,crossing
1,amaze
1,isolate
1,maximum
1,equation
1,angry
1,reprint
1,weird
1,brain
1,cash
1,hole
1,rethink
1,char
1,gallery
1,restrain
1,repetition
1,variance
1,acknowledgment
1,suspicious
1,carrot
1,manageable
1,skip
1,diastolic
1,rectangular
1,sketch
1,skew
1,fantasy
1,calling
1,recover
1,bang
1,inspire
1,tempt
1,explanatory
1,further
1,enhancement
1,profound
1,tremendous
1,respect
1,express
1,introductory
1,fraction
1,keystroke
1,cos
1,membership
1,interfere
1,ecology
1,enforce
1,eagle
1,driver
1,march
1,prefix
1,sensitive
1,differential
1,flint
1,subcompact
1,pitch
1,carpenter
1,park
1,splitting
1,turning
1,martin
1,unappealing
1,optimal
1,storm
1,strange
1,analyze
1,hardly
1,shot
1,foundation
1,slide
1,isolation
1,therefore
1,aim
1,encounter
1,obscure
1,popularity
1,containment
1,exhaust
1,dis
1,session
1,cycle
1,categorization
1,front
1,weak
1,napoleon
1,censor
1,noisy
1,warranty
1,ignore
1,dominate
1,metric
1,cautious
1,relation
1,pinpoint
1,reclaim
1,multiplication
1,psych
1,silent
1,suspect
1,hate
1,matrix
1,wow
1,optimize
1,leverage
1,parenthesis
1,exempt
1,scan
1,browse
1,enumerate
1,beach
1,digest
1,mad
1,basis
1,upgrade
1,observe
1,reorganize
1,structural
1,numerous
1,estimation
1,systematical
1,trick
1,generation
1,plus
1,concrete
1,gap
1,pragmatic
1,mimic
1,console
1,hearing
1,valuable
1,expansion
1,journey
1,atomic
1,scat
1,correction
1,thick
1,restore
1,prominent
1,geographical
1,casual
1,reinforce
1,blindfold
1,university
1,consequence
1,regulation
1,hexadecimal
1,promote
1,novice
1,soft
1,spectral
1,formation
1,distributional
1,mask
1,harmonious
1,biology
1,complement
1,marginal
1,circular
1,wrapper
1,spirit
1,newcomer
1,dash
1,lucky
1,vertex
1,printing
1,escape
1,self-contained
1,suppose
1,straightforward
1,ugly
1,assignment
1,wind
1,faint
1,severity
1,exposition
1,heat
1,restriction
1,spec
1,assertion
1,detection
1,draft
1,cross
1,empirical
1,belt
1,proofread
1,hence
1,concentrate
1,dominant
1,august
1,exceed
1,cor
1,primer
1,worthwhile
1,deliberate
1,impose
1,par
1,tag
1,tony
1,perfect
1,typographic
1,leaflet
1,ecosystem
1,signature
1,reproduce
1,three-dimensional
1,rebound
1,tic
1,distract
